Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
HS1 2LP,Yes,58.212765,-6.382192,142714,933260,NB427332,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",15,7,"","","Stornoway West - 04","Very remote small town",,16,,S01009041
HS1 2LQ,Yes,58.215227,-6.380689,142820,933528,NB428335,"","Eilean Siar","Steòrnabhagh a Tuath", S12000013,S13002606,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",52,26,"","","Stornoway East - 03","Very remote small town",,17,,S01009044
HS1 2LR,Yes,58.212072,-6.382737,142677,933185,NB426331,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",25,9,"","","Stornoway West - 04","Very remote small town",,17,,S01009041
HS1 2LS,Yes,58.210784,-6.384094,142588,933047,NB425330,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",8,2,"","","Stornoway West - 04","Very remote small town",,17,,S01009041
HS1 2LU,Yes,58.214945,-6.385494,142536,933515,NB425335,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",2011-07-01,,"","",,,"","","Stornoway West - 03","Very remote small town",,6,,S01009040
HS1 2LW,Yes,58.21274,-6.382922,142671,933260,NB426332,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",1,1,"","","Stornoway West - 04","Very remote small town",,15,,S01009041
HS1 2NA,Yes,58.208539,-6.385572,142485,932803,NB424328,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",,,"","","Stornoway West - 04","Very remote small town",,10,,S01009041
HS1 2NB,Yes,58.208744,-6.385359,142499,932825,NB424328,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",0,0,"","","Stornoway West - 04","Very remote small town",,11,,S01009041
HS1 2ND,Yes,58.208815,-6.384618,142543,932830,NB425328,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",13,8,"","","Stornoway West - 04","Very remote small town",,12,,S01009041
HS1 2NE,Yes,58.212947,-6.375841,143088,933256,NB430332,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1997-06-01,,"","",38,16,"","","Stornoway East - 02","Very remote small town",,24,,S01009043
HS1 2NF,Yes,58.209201,-6.383592,142606,932869,NB426328,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",24,9,"","","Stornoway West - 04","Very remote small town",,15,,S01009041
HS1 2NG,Yes,58.209148,-6.381984,142700,932857,NB427328,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",3,2,"","","Stornoway West - 04","Very remote small town",,14,,S01009041
HS1 2NH,Yes,58.21385,-6.375492,143115,933355,NB431333,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1996-06-01,,"","",14,5,"","","Stornoway East - 02","Very remote small town",,25,,S01009043
HS1 2NJ,Yes,58.211659,-6.380624,142798,933131,NB427331,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",41,13,"","","Stornoway West - 04","Very remote small town",,18,,S01009041
HS1 2NL,Yes,58.213528,-6.376986,143025,933325,NB430333,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",46,17,"","","Stornoway East - 03","Very remote small town",,25,,S01009044
HS1 2NP,Yes,58.212219,-6.376109,143067,933176,NB430331,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",40,18,"","","Stornoway East - 02","Very remote small town",,21,,S01009043
HS1 2NQ,Yes,58.210487,-6.382013,142708,933006,NB427330,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",14,7,"","","Stornoway West - 04","Very remote small town",,17,,S01009041
HS1 2NS,Yes,58.21449,-6.375179,143138,933425,NB431334,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",11,5,"","","Stornoway East - 02","Very remote small town",,24,,S01009043
HS1 2NW,Yes,58.213233,-6.374343,143178,933282,NB431332,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1998-12-01,,"","",72,36,"","","Stornoway East - 02","Very remote small town",,23,,S01009043
HS1 2NX,Yes,58.215336,-6.373579,143238,933513,NB432335,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",38,21,"","","Stornoway East - 03","Very remote small town",,22,,S01009044
HS1 2NY,Yes,58.214348,-6.372231,143310,933398,NB433333,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",90,46,"","","Stornoway East - 02","Very remote small town",,22,,S01009043
HS1 2NZ,Yes,58.214148,-6.370212,143427,933368,NB434333,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",40,18,"","","Stornoway East - 02","Very remote small town",,15,,S01009043
HS1 2PA,Yes,58.211897,-6.372389,143283,933126,NB432331,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",36,19,"","","Stornoway East - 02","Very remote small town",,11,,S01009043
HS1 2PB,Yes,58.212467,-6.370431,143402,933182,NB434331,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",24,21,"","","Stornoway East - 02","Very remote small town",,7,,S01009043
HS1 2PG,Yes,58.215079,-6.370599,143411,933473,NB434334,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",85,48,"","","Stornoway East - 04","Very remote small town",,19,,S01009045
HS1 2PH,Yes,58.213583,-6.369631,143457,933303,NB434333,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",43,18,"","","Stornoway East - 02","Very remote small town",,10,,S01009043
HS1 2PJ,Yes,58.212569,-6.371415,143345,933197,NB433331,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",18,12,"","","Stornoway East - 02","Very remote small town",,11,,S01009043
HS1 2PL,Yes,58.213073,-6.370864,143381,933251,NB433332,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",13,7,"","","Stornoway East - 02","Very remote small town",,12,,S01009043
HS1 2PN,Yes,58.209189,-6.380779,142771,932857,NB427328,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",2012-11-01,,"","",,,"","","Stornoway West - 04","Very remote small town",,12,,S01009041
HS1 2PP,Yes,58.21364,-6.371121,143370,933315,NB433333,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",25,10,"","","Stornoway East - 02","Very remote small town",,16,,S01009043
HS1 2PQ,Yes,58.214273,-6.368387,143535,933375,NB435333,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",9,4,"","","Stornoway East - 04","Very remote small town",,8,,S01009045
HS1 2PR,Yes,58.213618,-6.372021,143317,933316,NB433333,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",41,16,"","","Stornoway East - 02","Very remote small town",,19,,S01009043
HS1 2PS,Yes,58.212342,-6.373313,143232,933179,NB432331,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",86,32,"","","Stornoway East - 02","Very remote small town",,16,,S01009043
HS1 2PT,Yes,58.21146,-6.375692,143086,933090,NB430330,"","Eilean Siar","Steòrnabhagh a Deas", S12000013,S13002605,Scotland,S99999999,"Na h-Eileanan an Iar",1995-07-01,,"","",6,3,"","","Stornoway East - 02","Very remote small town",,15,,S01009043
