Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
BL6 4FA,Yes,53.566595,-2.500202,366969,407892,SD669078,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",1994-05-01,,"","",16,6,"Westhoughton","Chew Moor","Bolton 028G","Urban major conurbation",North West,113,,E01033219
BL6 4GE,Yes,53.55886,-2.509999,366314,407036,SD663070,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",2007-03-01,,"Westhoughton","",120,37,"Westhoughton","Westhoughton","Bolton 028F","Urban major conurbation",North West,117,,E01033218
BL6 4GF,Yes,53.58595,-2.514449,366041,410052,SD660100,"Greater Manchester","Bolton","Horwich North East", E08000001,E05000661,England,E11000010,"Bolton West",2010-04-01,,"Horwich","",41,13,"Greater Manchester","Horwich","Bolton 014B","Urban city and town",North West,158,,E01004885
BL6 4GG,Yes,53.580317,-2.526222,365257,409431,SD652094,"Greater Manchester","Bolton","Horwich and Blackrod", E08000001,E05000660,England,E11000010,"Bolton West",2011-07-01,,"","",,,"Greater Manchester","Horwich","Bolton 014A","Rural town and fringe",North West,121,,E01004775
BL6 4GH,Yes,53.579849,-2.524117,365396,409378,SD653093,"Greater Manchester","Bolton","Horwich and Blackrod", E08000001,E05000660,England,E11000010,"Bolton West",2013-07-01,,"","",,,"","","Bolton 014A","Rural town and fringe",North West,125,,E01004775
BL6 4GJ,Yes,53.580602,-2.524715,365357,409462,SD653094,"Greater Manchester","Bolton","Horwich and Blackrod", E08000001,E05000660,England,E11000010,"Bolton West",2011-05-01,,"","",,,"","","Bolton 014A","Rural town and fringe",North West,122,,E01004775
BL6 4GL,Yes,53.580273,-2.52388,365412,409425,SD654094,"Greater Manchester","Bolton","Horwich and Blackrod", E08000001,E05000660,England,E11000010,"Bolton West",2012-05-01,,"","",,,"","","Bolton 014A","Rural town and fringe",North West,122,,E01004775
BL6 4GP,Yes,53.579948,-2.522018,365535,409388,SD655093,"Greater Manchester","Bolton","Horwich and Blackrod", E08000001,E05000660,England,E11000010,"Bolton West",2016-01-01,,"","",,,"Westhoughton","Westhoughton","Bolton 014A","Rural town and fringe",North West,115,,E01004775
BL6 4GQ,Yes,53.58006,-2.521083,365597,409400,SD655094,"Greater Manchester","Bolton","Horwich and Blackrod", E08000001,E05000660,England,E11000010,"Bolton West",2015-11-01,,"","",,,"","","Bolton 014A","Rural town and fringe",North West,123,,E01004775
BL6 4GW,Yes,53.560029,-2.509741,366332,407166,SD663071,"Greater Manchester","Bolton","Westhoughton North and Chew Moor", E08000001,E05000668,England,E11000010,"Bolton West",2002-06-01,,"Westhoughton","",60,19,"Westhoughton","Westhoughton","Bolton 028G","Urban major conurbation",North West,115,,E01033219
