Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
SY1 1DY,Yes,52.708564,-2.750636,349382,312586,SJ493125,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1993-01-01,,"Shrewsbury","",46,35,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,70,,E01028946
SY1 1DZ,Yes,52.708244,-2.751341,349334,312551,SJ493125,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1985-10-01,,"Shrewsbury","",8,7,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,75,,E01028946
SY1 1EB,Yes,52.708027,-2.75153,349321,312527,SJ493125,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",7,3,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,74,,E01028946
SY1 1ED,Yes,52.708384,-2.752025,349288,312567,SJ492125,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,74,,E01028946
SY1 1EG,Yes,52.708031,-2.750938,349361,312527,SJ493125,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,72,,E01028946
SY1 1EN,Yes,52.707274,-2.75131,349335,312443,SJ493124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",21,15,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,71,,E01028946
SY1 1EQ,Yes,52.707883,-2.751661,349312,312511,SJ493125,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",1,1,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,74,,E01028946
SY1 1ES,Yes,52.706962,-2.75086,349365,312408,SJ493124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",30,12,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,67,,E01028946
SY1 1ET,Yes,52.706709,-2.750989,349356,312380,SJ493123,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",9,3,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,66,,E01028946
SY1 1EU,Yes,52.708933,-2.751856,349300,312628,SJ493126,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,75,,E01028946
SY1 1EZ,Yes,52.707332,-2.750645,349380,312449,SJ493124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",2006-01-01,,"Shrewsbury","",11,8,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,67,,E01028946
SY1 1HA,Yes,52.70825,-2.754746,349104,312554,SJ491125,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,66,,E01028946
SY1 1HD,Yes,52.708044,-2.75452,349119,312531,SJ491125,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,67,,E01028946
SY1 1HE,Yes,52.707835,-2.754887,349094,312508,SJ490125,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1987-10-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,66,,E01028946
SY1 1HF,Yes,52.707644,-2.755283,349067,312487,SJ490124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",4,1,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,66,,E01028946
SY1 1HH,Yes,52.709517,-2.758956,348821,312698,SJ488126,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1996-06-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,55,,E01028946
SY1 1HL,Yes,52.707424,-2.755915,349024,312463,SJ490124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,65,,E01028946
SY1 1HQ,Yes,52.707738,-2.75601,349018,312498,SJ490124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,64,,E01028946
SY1 1HR,Yes,52.707324,-2.756165,349007,312452,SJ490124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1993-01-01,,"Shrewsbury","",32,20,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,65,,E01028946
SY1 1HS,Yes,52.707622,-2.755948,349022,312485,SJ490124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,64,,E01028946
SY1 1HU,Yes,52.707499,-2.756908,348957,312472,SJ489124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",1,1,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,64,,E01028946
SY1 1HX,Yes,52.707618,-2.756481,348986,312485,SJ489124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",,,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,64,,E01028946
SY1 1JA,Yes,52.706584,-2.756611,348976,312370,SJ489123,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1982-03-01,,"Shrewsbury","",40,39,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,66,,E01028946
SY1 1JB,Yes,52.707371,-2.757247,348934,312458,SJ489124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",6,2,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,66,,E01028946
SY1 1JD,Yes,52.707014,-2.756811,348963,312418,SJ489124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",5,5,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,66,,E01028946
SY1 1JE,Yes,52.706896,-2.756913,348956,312405,SJ489124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1996-12-01,,"Shrewsbury","",3,3,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,66,,E01028946
SY1 1JF,Yes,52.705838,-2.75796,348884,312288,SJ488122,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",2001-12-01,,"Shrewsbury","",45,30,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,63,,E01028946
SY1 1JH,Yes,52.706702,-2.756406,348990,312383,SJ489123,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1983-03-01,,"Shrewsbury","",20,9,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,67,,E01028946
SY1 1JJ,Yes,52.70691,-2.757668,348905,312407,SJ489124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1983-03-01,,"Shrewsbury","",73,36,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,67,,E01028946
SY1 1JL,Yes,52.706508,-2.758682,348836,312363,SJ488123,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",8,4,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,65,,E01028946
SY1 1JN,Yes,52.706068,-2.758467,348850,312314,SJ488123,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",32,22,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,64,,E01028946
SY1 1JP,Yes,52.706269,-2.758071,348877,312336,SJ488123,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1993-08-01,,"Shrewsbury","",4,2,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,65,,E01028946
SY1 1JQ,Yes,52.707229,-2.756948,348954,312442,SJ489124,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",23,14,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,65,,E01028946
SY1 1JR,Yes,52.705336,-2.757744,348898,312232,SJ488122,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1993-08-01,,"Shrewsbury","",4,1,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,61,,E01028946
SY1 1JT,Yes,52.704968,-2.758981,348814,312192,SJ488121,"Shropshire","Shropshire","Quarry and Coton Hill", E06000051,E05008180,England,E11000015,"Shrewsbury and Atcham",1980-01-01,,"Shrewsbury","",4,1,"Shrewsbury","","Shropshire 019A","Urban city and town",West Midlands,56,,E01028946
