Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
DD4 6PP,Yes,56.471245,-2.955723,341219,731422,NO412314,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",38,28,"","","Stobswell - 04","Large urban area",,62,,S01007729
DD4 6PQ,Yes,56.469463,-2.952659,341405,731221,NO414312,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",2002-07-01,,"","",17,7,"","","Stobswell - 06","Large urban area",,54,,S01007731
DD4 6PR,Yes,56.471047,-2.956951,341143,731401,NO411314,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",21,11,"","","Stobswell - 04","Large urban area",,61,,S01007729
DD4 6PS,Yes,56.471495,-2.955956,341205,731450,NO412314,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",42,27,"","","Stobswell - 04","Large urban area",,63,,S01007729
DD4 6PT,Yes,56.471681,-2.956286,341185,731471,NO411314,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",17,9,"","","Stobswell - 04","Large urban area",,63,,S01007729
DD4 6PW,Yes,56.471122,-2.956531,341169,731409,NO411314,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",44,21,"","","Stobswell - 04","Large urban area",,61,,S01007729
DD4 6PX,Yes,56.472092,-2.956572,341168,731517,NO411315,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",58,30,"","","Stobswell - 04","Large urban area",,65,,S01007729
DD4 6PZ,Yes,56.472633,-2.956277,341187,731577,NO411315,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",,,"","","Stobswell - 04","Large urban area",,67,,S01007729
DD4 6QA,Yes,56.472579,-2.956276,341187,731571,NO411315,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",31,17,"","","Stobswell - 04","Large urban area",,67,,S01007729
DD4 6QB,Yes,56.472711,-2.955516,341234,731585,NO412315,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",58,33,"","","Stobswell - 04","Large urban area",,68,,S01007729
DD4 6QD,Yes,56.472183,-2.955227,341251,731526,NO412315,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",64,38,"","","Stobswell - 04","Large urban area",,66,,S01007729
DD4 6QE,Yes,56.471611,-2.95492,341269,731462,NO412314,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",44,31,"","","Stobswell - 05","Large urban area",,64,,S01007730
DD4 6QF,Yes,56.472197,-2.955714,341221,731528,NO412315,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",71,31,"","","Stobswell - 04","Large urban area",,66,,S01007729
DD4 6QG,Yes,56.468603,-2.958075,341070,731130,NO410311,"","Dundee City","Maryfield", S12000042,S13002549,Scotland,S99999999,"Dundee East",1980-01-01,,"","",12,7,"","","Stobswell - 02","Large urban area",,48,,S01007727
