Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
SP10 3TX,Yes,51.215654,-1.485316,436045,146398,SU360463,"Hampshire","Test Valley","Harroway", E07000093,E05004641,England,E10000014,"North West Hampshire",1990-02-01,,"Andover","",14,4,"Andover","Andover","Test Valley 001D","Urban city and town",South East,75,,E01023182
SP10 3TY,Yes,51.213735,-1.522589,433443,146167,SU334461,"Hampshire","Test Valley","Harroway", E07000093,E05004641,England,E10000014,"North West Hampshire",2007-05-01,,"Andover","",,,"Andover","Andover","Test Valley 005B","Urban city and town",South East,86,,E01023180
SP10 3TZ,Yes,51.216387,-1.50939,434363,146468,SU343464,"Hampshire","Test Valley","Harroway", E07000093,E05004641,England,E10000014,"North West Hampshire",1990-02-01,,"Andover","",,,"Andover","Andover","Test Valley 005B","Urban city and town",South East,82,,E01023180
SP10 3UA,Yes,51.206784,-1.498884,435104,145405,SU351454,"Hampshire","Test Valley","Millway", E07000093,E05004643,England,E10000014,"North West Hampshire",1990-02-01,,"Andover","",77,37,"Andover","Andover","Test Valley 005C","Urban city and town",South East,82,,E01023186
SP10 3UB,Yes,51.207258,-1.49835,435141,145458,SU351454,"Hampshire","Test Valley","Millway", E07000093,E05004643,England,E10000014,"North West Hampshire",1990-02-01,,"Andover","",18,11,"Andover","Andover","Test Valley 005C","Urban city and town",South East,83,,E01023186
SP10 3UD,Yes,51.207002,-1.49944,435065,145429,SU350454,"Hampshire","Test Valley","Millway", E07000093,E05004643,England,E10000014,"North West Hampshire",1990-02-01,,"Andover","",25,13,"Andover","Andover","Test Valley 005C","Urban city and town",South East,82,,E01023186
SP10 3UE,Yes,51.206371,-1.499232,435080,145359,SU350453,"Hampshire","Test Valley","Millway", E07000093,E05004643,England,E10000014,"North West Hampshire",1990-02-01,,"Andover","",49,24,"Andover","Andover","Test Valley 005C","Urban city and town",South East,81,,E01023186
SP10 3UF,Yes,51.203967,-1.500532,434991,145091,SU349450,"Hampshire","Test Valley","Millway", E07000093,E05004643,England,E10000014,"North West Hampshire",1990-02-01,,"Andover","",20,8,"Andover","Andover","Test Valley 005C","Urban city and town",South East,78,,E01023186
SP10 3UG,Yes,51.203927,-1.499531,435061,145087,SU350450,"Hampshire","Test Valley","Millway", E07000093,E05004643,England,E10000014,"North West Hampshire",1990-02-01,,"Andover","",34,11,"Andover","Andover","Test Valley 005C","Urban city and town",South East,78,,E01023186
SP10 3UH,Yes,51.204373,-1.498667,435121,145137,SU351451,"Hampshire","Test Valley","Millway", E07000093,E05004643,England,E10000014,"North West Hampshire",1990-02-01,,"Andover","",78,31,"Andover","Andover","Test Valley 005C","Urban city and town",South East,78,,E01023186
