Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
DT2 8ET,Yes,50.677523,-2.380902,373183,86498,SY731864,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"West Dorset",1980-01-01,,"Broadmayne","",15,9,"Broadmayne/West Knighton","Broadmayne","West Dorset 011A","Rural village",South West,49,,E01020505
DT2 8EU,Yes,50.671527,-2.377485,373421,85830,SY734858,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"West Dorset",1980-01-01,,"Broadmayne","",5,3,"","","West Dorset 011A","Rural village",South West,65,,E01020505
DT2 8EW,Yes,50.677261,-2.383872,372973,86470,SY729864,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"West Dorset",1980-01-01,,"Broadmayne","",31,11,"Broadmayne/West Knighton","Broadmayne","West Dorset 011A","Rural village",South West,51,,E01020505
DT2 8EX,Yes,50.677883,-2.372257,373794,86535,SY737865,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"West Dorset",1980-01-01,,"Broadmayne","",7,4,"","","West Dorset 011A","Rural village",South West,61,,E01020505
DT2 8EY,Yes,50.67809,-2.383327,373012,86562,SY730865,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"West Dorset",1980-01-01,,"Broadmayne","",22,10,"Broadmayne/West Knighton","Broadmayne","West Dorset 011A","Rural village",South West,49,,E01020505
DT2 8EZ,Yes,50.679603,-2.382773,373052,86730,SY730867,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"West Dorset",1980-01-01,,"Broadmayne","",53,23,"Broadmayne/West Knighton","Broadmayne","West Dorset 011A","Rural village",South West,50,,E01020505
DT2 8FA,Yes,50.737675,-2.386491,372823,93189,SY728931,"Dorset","West Dorset","Puddletown", E07000052,E05010598,England,E10000009,"West Dorset",1999-06-01,,"Stinsford","",,,"","","West Dorset 004A","Rural village",South West,83,,E01020509
DT2 8FB,Yes,50.696314,-2.328823,376872,88570,SY768885,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"South Dorset",1998-06-01,,"Crossways","",8,4,"Crossways","","West Dorset 011B","Rural town and fringe",South West,60,,E01020537
DT2 8FG,Yes,50.676906,-2.382425,373075,86430,SY730864,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"West Dorset",2004-11-01,,"Broadmayne","",3,1,"Broadmayne/West Knighton","Broadmayne","West Dorset 011A","Rural village",South West,52,,E01020505
DT2 8FH,Yes,50.696264,-2.330607,376746,88565,SY767885,"Dorset","West Dorset","Broadmayne & Crossways", E07000052,E05010583,England,E10000009,"South Dorset",2006-04-01,,"Crossways","",6,2,"Crossways","","West Dorset 011B","Rural town and fringe",South West,61,,E01020537
DT2 8FJ,Yes,50.704545,-2.389363,372601,89506,SY726895,"Dorset","West Dorset","Winterbourne St Martin", E07000052,E05010602,England,E10000009,"West Dorset",2008-06-01,,"West Stafford","",22,10,"","","West Dorset 011A","Rural village",South West,55,,E01020505
