Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
DH7 6PH,Yes,54.820964,-1.620215,424501,547412,NZ245474,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",30,19,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,125,,E01020621
DH7 6PJ,Yes,54.82102,-1.618269,424626,547419,NZ246474,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",12,8,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,125,,E01020621
DH7 6PL,Yes,54.819951,-1.615291,424818,547301,NZ248473,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",4,1,"","","County Durham 019E","Rural town and fringe",North East,136,,E01020621
DH7 6PN,Yes,54.820096,-1.618792,424593,547316,NZ245473,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",49,18,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,131,,E01020621
DH7 6PP,Yes,54.818245,-1.618731,424598,547110,NZ245471,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",23,13,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,147,,E01020621
DH7 6PQ,Yes,54.819936,-1.621983,424388,547297,NZ243472,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",31,15,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,132,,E01020621
DH7 6PR,Yes,54.818303,-1.617206,424696,547117,NZ246471,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",59,27,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,144,,E01020621
DH7 6PS,Yes,54.817968,-1.619263,424564,547079,NZ245470,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",50,19,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,149,,E01020621
DH7 6PT,Yes,54.816418,-1.620849,424463,546906,NZ244469,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",113,40,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,161,,E01020621
DH7 6PU,Yes,54.816461,-1.623058,424321,546910,NZ243469,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",21,13,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,160,,E01020621
DH7 6PW,Yes,54.820017,-1.61915,424570,547307,NZ245473,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",67,26,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,132,,E01020621
DH7 6PX,Yes,54.816838,-1.623024,424323,546952,NZ243469,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",11,5,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,157,,E01020621
DH7 6PZ,Yes,54.818608,-1.622618,424348,547149,NZ243471,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",8,6,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,144,,E01020621
DH7 6QB,Yes,54.81956,-1.619653,424538,547256,NZ245472,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",20,11,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,136,,E01020621
DH7 6QD,Yes,54.818474,-1.619974,424518,547135,NZ245471,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",34,12,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,145,,E01020621
DH7 6QE,Yes,54.81728,-1.620421,424490,547002,NZ244470,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",80,32,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,154,,E01020621
DH7 6QF,Yes,54.817436,-1.621478,424422,547019,NZ244470,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",98,42,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,153,,E01020621
DH7 6QG,Yes,54.818841,-1.619659,424538,547176,NZ245471,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",26,11,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,143,,E01020621
DH7 6QJ,Yes,54.820822,-1.621072,424446,547396,NZ244473,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",60,26,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,127,,E01020621
DH7 6QL,Yes,54.819151,-1.621228,424437,547210,NZ244472,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",2007-05-01,,"Sacriston","",159,73,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,139,,E01020621
DH7 6QN,Yes,54.818326,-1.621749,424404,547118,NZ244471,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",2008-03-01,,"Sacriston","",12,6,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,146,,E01020621
DH7 6QP,Yes,54.806346,-1.63619,423483,545780,NZ234457,"County Durham","County Durham","Esh and Witton Gilbert", E06000047,E05009061,England,E11000007,"City of Durham",1980-01-01,,"Witton Gilbert","",8,4,"Sacriston","Witton Gilbert","County Durham 026B","Rural town and fringe",North East,110,,E01020680
DH7 6QQ,Yes,54.819717,-1.624071,424254,547272,NZ242472,"County Durham","County Durham","Sacriston", E06000047,E05009076,England,E11000007,"North Durham",1980-01-01,,"Sacriston","",41,19,"Sacriston","Sacriston","County Durham 019E","Rural town and fringe",North East,135,,E01020621
DH7 6QR,Yes,54.806435,-1.635893,423502,545790,NZ235457,"County Durham","County Durham","Esh and Witton Gilbert", E06000047,E05009061,England,E11000007,"City of Durham",1980-01-01,,"Witton Gilbert","",4,3,"Sacriston","Witton Gilbert","County Durham 026B","Rural town and fringe",North East,110,,E01020680
DH7 6QS,Yes,54.807026,-1.634955,423562,545856,NZ235458,"County Durham","County Durham","Esh and Witton Gilbert", E06000047,E05009061,England,E11000007,"City of Durham",1980-01-01,,"Witton Gilbert","",25,15,"Sacriston","Witton Gilbert","County Durham 026B","Rural town and fringe",North East,111,,E01020680
DH7 6QT,Yes,54.8076,-1.634778,423573,545920,NZ235459,"County Durham","County Durham","Esh and Witton Gilbert", E06000047,E05009061,England,E11000007,"City of Durham",1980-01-01,,"Witton Gilbert","",7,5,"Sacriston","Witton Gilbert","County Durham 026B","Rural town and fringe",North East,112,,E01020680
DH7 6QU,Yes,54.807735,-1.634839,423569,545935,NZ235459,"County Durham","County Durham","Esh and Witton Gilbert", E06000047,E05009061,England,E11000007,"City of Durham",1980-01-01,,"Witton Gilbert","",,,"Sacriston","Witton Gilbert","County Durham 026C","Rural town and fringe",North East,113,,E01020681
DH7 6QX,Yes,54.808088,-1.635412,423532,545974,NZ235459,"County Durham","County Durham","Esh and Witton Gilbert", E06000047,E05009061,England,E11000007,"City of Durham",1980-01-01,,"Witton Gilbert","",17,12,"Sacriston","Witton Gilbert","County Durham 026C","Rural town and fringe",North East,113,,E01020681
DH7 6QY,Yes,54.80929,-1.634685,423578,546108,NZ235461,"County Durham","County Durham","Esh and Witton Gilbert", E06000047,E05009061,England,E11000007,"City of Durham",1980-01-01,,"Witton Gilbert","",5,4,"Sacriston","Witton Gilbert","County Durham 026C","Rural town and fringe",North East,119,,E01020681
