Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code
PH2 7LG,Yes,56.393814,-3.336194,317613,723195,NO176231,"","Perth and Kinross","Carse of Gowrie", S12000024,S13002738,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",19,7,"","","Guildtown, Balbeggie and St Madoes - 02","Accessible rural area",,99,,S01011957
PH2 7LH,Yes,56.391867,-3.346672,316962,722991,NO169229,"","Perth and Kinross","Carse of Gowrie", S12000024,S13002738,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",3,1,"","","Guildtown, Balbeggie and St Madoes - 02","Accessible rural area",,127,,S01011957
PH2 7LJ,Yes,56.391519,-3.361304,316058,722970,NO160229,"","Perth and Kinross","Carse of Gowrie", S12000024,S13002738,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",24,8,"","","Guildtown, Balbeggie and St Madoes - 02","Accessible rural area",,126,,S01011957
PH2 7LL,Yes,56.392585,-3.377023,315090,723108,NO150231,"","Perth and Kinross","Carse of Gowrie", S12000024,S13002738,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",15,7,"","","Guildtown, Balbeggie and St Madoes - 02","Accessible rural area",,156,,S01011957
PH2 7LN,Yes,56.39681,-3.388144,314413,723592,NO144235,"","Perth and Kinross","Carse of Gowrie", S12000024,S13002738,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",6,3,"","","Scone - 05","Accessible rural area",,148,,S01011953
PH2 7LQ,Yes,56.402468,-3.330972,317954,724152,NO179241,"","Perth and Kinross","Carse of Gowrie", S12000024,S13002738,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",14,8,"","","Guildtown, Balbeggie and St Madoes - 02","Accessible rural area",,125,,S01011957
PH2 7LS,Yes,56.374867,-3.332552,317797,721082,NO177210,"","Perth and Kinross","Carse of Gowrie", S12000024,S13002738,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",170,4,"","","Guildtown, Balbeggie and St Madoes - 02","Accessible rural area",,16,,S01011957
PH2 7LT,Yes,56.36864,-3.323414,318348,720378,NO183203,"","Perth and Kinross","Carse of Gowrie", S12000024,S13002738,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",24,12,"","","Guildtown, Balbeggie and St Madoes - 02","Accessible rural area",,6,,S01011957
PH2 7LU,Yes,56.377423,-3.312853,319019,721343,NO190213,"","Perth and Kinross","Carse of Gowrie", S12000024,S13002738,Scotland,S99999999,"Perth and North Perthshire",1980-01-01,,"","",11,5,"","","Guildtown, Balbeggie and St Madoes - 02","Accessible rural area",,22,,S01011957
PH2 7LW,Yes,56.407041,-3.410703,313044,724759,NO130247,"","Perth and Kinross","Perth City Centre", S12000024,S13002749,Scotland,S99999999,"Perth and North Perthshire",1991-03-01,,"","",32,19,"","","Gannochy and Walnut Grove - 04","Other urban area",,44,,S01011947
